0 1 2
19 29 47
19 30 19
19 38 -26
19 39 -78
19 40 -99
19 42 75
19 43 -76
19 45 46
19 47 83
19 51 -18
19 57 16
19 61 -97
19 65 62
19 70 -52
19 74 15
19 78 4
19 81 31
19 83 50
19 85 -76
19 88 -68
19 95 -98
19 97 70
20 1 40
20 4 68
20 8 -41
20 12 -94
20 13 -69
20 18 -46
20 21 67
20 25 86
20 27 -67
20 28 -54
20 33 -72
20 35 31
20 38 3
20 42 -79
20 43 -44
20 44 42
20 46 60
20 48 95
20 50 -15
20 52 -87
20 68 86
20 69 -71
20 73 19
20 76 -12
20 78 86
20 79 13
20 82 6
20 83 26
20 84 -78
20 85 -79
20 88 54
20 91 30
20 92 -55
20 94 46
20 95 59
20 98 66
20 99 -100
21 0 -34
21 3 9
21 10 -93
21 11 -26
21 18 20
21 19 16
21 24 15
21 26 29
21 29 1
21 32 -19
21 36 -93
21 39 -53
21 41 -78
21 51 33
21 55 -37
21 56 76
21 58 74
21 59 -38
21 63 1
21 69 -25
21 75 98
21 78 60
21 81 -3
21 84 -84
21 91 10
21 94 -59
21 97 52
21 99 -13
22 1 -5
22 2 49
22 4 -89
22 6 43
22 14 -40
22 18 6
22 20 57
22 22 87
22 23 -1
22 26 12
22 28 88
22 32 81
22 37 -25
22 38 -47
22 40 -1
22 41 -77
22 42 16
22 43 -88
22 45 -7
22 50 -73
22 51 53
22 56 -5
22 58 27
22 62 -83
22 63 14
22 65 -81
22 70 -10
22 72 -60
22 73 48
22 74 75
22 76 34
22 81 61
22 86 91
22 90 -93
22 91 -15
22 92 -39
23 1 -77
23 5 -86
23 8 -33
23 18 51
23 20 -10
23 22 69
23 30 -66
23 32 72
23 33 -55
23 34 -16
23 38 -69
23 42 72
23 43 -42
23 44 -21
23 45 -31
23 50 -60
23 51 65
23 52 -99
23 53 -95
23 54 76
23 55 49
23 56 -88
23 61 -36
23 62 -80
23 63 -63
23 66 -18
23 67 49
23 76 -24
23 79 -65
23 84 35
23 85 49
23 87 -40
23 90 -12
23 91 5
23 93 -31
23 94 39
23 95 -13
23 96 54
23 98 -20
24 0 -89
24 6 -84
24 8 14
24 10 -52
24 11 53
24 12 -95
24 16 -42
24 19 80
24 20 -86
24 23 -98
24 25 37
24 28 -20
24 32 48
24 34 -16
24 36 -53
24 38 17
24 41 5
24 55 67
24 58 -23
24 60 91
24 61 -98
24 64 -23
24 66 52
24 69 -53
24 71 1
24 77 -75
24 88 -30
24 93 67
24 94 34
25 0 28
25 3 -68
25 6 -47
25 10 -83
25 12 21
25 13 69
25 14 83
25 15 -27
25 18 -48
25 32 74
25 38 16
25 43 -10
25 44 -90
25 46 87
25 47 11
25 48 -90
25 50 33
25 54 62
25 55 -66
25 57 -69
25 58 -97
25 60 49
25 65 10
25 68 -99
25 70 81
25 71 -68
25 72 24
25 73 -24
25 74 96
25 81 71
25 87 -56
25 92 60
26 3 -40
26 6 57
26 8 16
26 11 -34
26 12 15
26 14 -71
26 15 72
26 16 61
26 18 83
26 27 -39
26 28 73
26 34 -93
26 40 -63
26 48 -82
26 49 68
26 50 -83
26 51 -43
26 52 5
26 55 80
26 58 -90
26 66 75
26 68 -25
26 69 -61
26 72 43
26 75 31
26 77 -36
26 78 91
26 83 -33
26 84 -18
26 88 88
26 94 46
26 97 -88
26 98 1
26 99 36
27 1 22
27 2 20
27 3 -45
27 5 96
27 10 -74
27 11 81
27 18 -34
27 21 3
27 24 70
27 27 -17
27 29 -58
27 30 -100
27 31 -16
27 32 43
27 35 -30
27 36 -27
27 39 64
27 46 -70
27 50 12
27 64 -94
27 65 -65
27 66 -52
27 67 67
27 68 -40
27 73 -7
27 74 -21
27 76 -34
27 79 74
27 80 3
27 94 -79
27 95 78
27 97 16
27 99 -9
28 3 -13
28 6 -88
28 7 82
28 8 -70
28 9 69
28 13 86
28 18 -71
28 20 4
28 33 47
28 39 69
28 41 38
28 46 -56
28 47 50
28 48 -4
28 50 64
28 51 -11
28 53 70
28 59 -87
28 61 -84
28 62 -71
28 72 -32
28 80 -42
28 84 -7
28 87 -56
28 89 -26
28 93 51
28 95 -30
29 3 91
29 7 29
29 11 79
29 18 12
29 26 -1
29 27 1
29 30 97
29 32 -38
29 33 12
29 37 -89
29 38 -97
29 39 -62
29 43 -47
29 44 -47
29 46 62
29 47 59
29 48 -89
29 51 34
29 56 -9
29 57 -65
29 58 21
29 61 65
29 63 60
29 68 71
29 69 -32
29 74 -13
29 75 3
29 93 53
29 94 -52
29 97 66
29 98 26
29 99 -91
30 1 -93
30 2 -48
30 3 -24
30 11 -83
30 13 42
30 14 -15
30 15 -40
30 23 -18
30 24 62
30 26 3
30 27 6
30 30 -8
30 40 22
30 43 -94
30 44 17
30 46 -77
30 50 93
30 54 -76
30 55 -50
30 58 20
30 59 -20
30 66 61
30 67 -7
30 68 -46
30 70 -87
30 73 34
30 75 11
30 77 7
30 80 8
30 85 -87
30 87 -42
30 89 -30
30 93 -19
30 94 42
30 98 46
31 0 -7
31 2 87
31 7 99
31 10 -49
31 11 57
31 13 79
31 18 -79
31 19 -95
31 21 -49
31 22 61
31 25 -81
31 26 98
31 27 62
31 33 -90
31 40 -6
31 41 34
31 44 65
31 49 -75
31 50 26
31 61 -84
31 64 11
31 65 -95
31 69 -79
31 76 -2
31 77 38
31 80 55
31 81 -60
31 83 -59
31 86 -88
31 90 100
31 93 30
31 95 89
31 98 33
32 7 46
32 9 36
32 11 -33
32 12 17
32 13 -35
32 14 18
32 16 -8
32 18 -84
32 19 18
32 21 11
32 24 -47
32 27 62
32 29 8
32 30 28
32 31 48
32 34 -49
32 40 -27
32 42 33
32 44 20
32 45 -50
32 46 -52
32 48 40
32 52 -3
32 56 -93
32 61 -83
32 62 -22
32 63 -13
32 65 -19
32 66 19
32 69 -20
32 78 70
32 79 -100
32 83 75
32 87 -4
32 88 -45
32 89 4
32 90 -49
32 91 -72
32 92 65
32 93 50
32 95 -15
32 99 6
33 7 87
33 9 -35
33 10 -60
33 15 97
33 16 -52
33 17 -68
33 22 58
33 23 91
33 24 99
33 25 -74
33 26 63
33 32 -19
33 36 30
33 37 -86
33 45 -75
33 52 65
33 56 -15
33 59 -40
33 60 -27
33 62 -61
33 63 15
33 66 -16
33 70 -58
33 71 20
33 76 61
33 85 -65
33 86 -88
33 87 -37
33 88 92
33 90 -58
33 91 37
33 93 24
33 94 -60
33 99 87
34 5 -67
34 6 85
34 13 65
34 14 -4
34 16 -81
34 17 49
34 18 -100
34 20 77
34 21 -92
34 22 16
34 25 -17
34 28 71
34 29 86
34 31 6
34 39 83
34 45 -58
34 46 -23
34 49 66
34 58 80
34 60 -48
34 62 -77
34 63 53
34 64 -76
34 66 3
34 69 -90
34 72 32
34 74 27
34 75 56
34 78 -92
34 79 -21
34 80 50
34 83 -65
34 84 -65
34 85 23
34 87 -23
34 95 45
34 96 69
35 1 9
35 3 -70
35 4 1
35 7 1
35 8 33
35 10 -53
35 11 -33
35 13 57
35 17 33
35 19 -27
35 21 -47
35 22 62
35 23 9
35 29 51
35 31 77
35 32 -54
35 34 -76
35 35 89
35 36 79
35 37 -57
35 38 98
35 39 60
35 45 -80
35 46 -6
35 48 -61
35 50 80
35 54 -53
35 56 41
35 59 52
35 60 83
35 64 54
35 72 54
35 79 -90
35 82 -65
35 84 -100
35 93 90
35 94 -45
35 95 5
35 96 5
35 99 82
36 0 -44
36 2 -78
36 7 11
36 22 90
36 24 -39
36 31 -30
36 33 -11
36 34 -24
36 35 -58
36 36 92
36 38 -68
36 52 -57
36 53 -53
36 55 31
36 64 -43
36 65 29
36 67 58
36 73 66
36 74 -90
36 81 -13
36 82 -18
36 83 -54
36 87 -24
36 89 -87
36 91 -13
36 94 -59
36 95 -69
36 98 60
36 99 58
37 1 87
37 4 -64
37 5 92
37 8 -80
37 12 -18
37 17 36
37 22 -27
37 25 42
37 26 71
37 28 -62
37 30 -47
37 33 -94
37 34 -37
37 41 -9
37 43 -6
37 44 -35
37 50 -35
37 51 97
37 52 63
37 53 7
37 55 -17
37 58 69
37 62 -49
37 63 48
37 65 98
37 68 -94
37 69 45
37 73 92
37 77 81
37 79 -84
37 80 -45
37 84 -84
37 89 53
37 90 -47
37 91 -35
37 93 28
37 94 -13
37 96 87
38 4 -45
38 8 -60
38 10 66
38 14 69
38 16 29
38 19 -29
38 21 61
38 24 -60
38 25 -50
38 27 26
38 28 31
38 30 -60
38 32 97
38 35 -70
38 36 -57
38 37 60
38 39 -53
38 41 56
38 43 -90
38 48 -32
38 49 -9
38 55 -7
38 58 -12
38 59 -84
38 62 5
38 64 -51
38 66 -51
38 67 25
38 69 -28
38 70 -93
38 72 -74
38 78 54
38 83 68
38 84 -60
38 90 -26
38 92 -98
38 93 70
38 98 -4
39 1 85
39 5 -10
39 11 -39
39 13 -23
39 15 -79
39 23 -59
39 25 -77
39 28 32
39 33 33
39 35 57
39 36 -39
39 39 2
39 41 -61
39 43 88
39 47 -38
39 50 -87
39 54 100
39 56 86
39 59 -80
39 62 -2
39 63 97
39 64 -59
39 65 94
39 68 66
39 70 61
39 71 -57
39 72 -100
39 73 81
39 74 -7
39 75 15
39 76 -95
39 80 30
39 81 64
39 83 16
39 84 -28
39 89 47
39 93 31
39 94 92
39 96 17
39 99 5
40 1 -76
40 4 -90
40 9 7
40 12 -71
40 19 -35
40 20 33
40 26 -21
40 28 -71
40 30 33
40 31 -15
40 33 85
40 34 36
40 37 24
40 43 40
40 47 -24
40 51 -74
40 52 70
40 56 86
40 58 -41
40 62 74
40 64 -73
40 66 -75
40 72 8
40 77 91
41 0 -3
41 1 -42
41 8 32
41 10 -98
41 18 52
41 21 40
41 23 -62
41 29 48
41 32 -25
41 38 76
41 40 62
41 42 -38
41 43 61
41 44 26
41 45 -19
41 51 88
41 54 -64
41 59 35
41 63 84
41 70 5
41 75 -2
41 82 -87
41 85 -34
41 87 17
41 94 -21
41 95 -65
41 96 38
42 0 -62
42 2 -72
42 5 -33
42 12 -82
42 22 87
42 25 53
42 26 18
42 28 22
42 30 80
42 36 -67
42 37 -16
42 42 19
42 47 77
42 49 77
42 51 38
42 55 -38
42 59 -96
42 65 -18
42 67 43
42 69 16
42 75 -93
42 77 2
42 80 86
42 82 -97
42 83 -74
42 86 -5
42 87 -68
42 90 -71
42 92 24
42 98 -72
43 1 96
43 3 -17
43 4 34
43 14 -3
43 16 -23
43 18 -25
43 19 -59
43 21 79
43 29 6
43 30 -13
43 32 76
43 37 26
43 42 -18
43 46 -47
43 47 15
43 49 56
43 50 -15
43 54 2
43 56 38
43 62 -20
43 66 -20
43 67 -71
43 74 33
43 82 -11
43 86 72
43 95 16
43 99 38
44 0 49
44 3 -58
44 5 -92
44 9 92
44 14 91
44 15 94
44 20 37
44 21 -48
44 26 -25
44 28 -21
44 30 63
44 32 -64
44 38 96
44 41 42
44 44 -47
44 46 -40
44 47 -76
44 50 -98
44 52 -35
44 56 75
44 59 74
44 64 -2
44 67 100
44 68 -51
44 70 -12
44 72 -90
44 74 49
44 76 26
44 77 -25
44 82 41
44 85 -21
44 86 92
44 88 70
44 89 16
44 93 34
44 94 -100
44 96 -99
44 98 -90
45 1 99
45 4 -83
45 7 -41
45 8 -92
45 13 13
45 15 78
45 17 -37
45 19 46
45 22 7
45 23 -78
45 24 -76
45 26 43
45 29 4
45 30 -3
45 33 19
45 34 12
45 35 -34
45 39 33
45 40 -20
45 41 -72
45 43 -14
45 49 80
45 54 -91
45 59 -68
45 62 78
45 66 15
45 68 -11
45 71 5
45 72 31
45 78 94
45 79 51
45 86 -64
45 87 47
45 88 63
45 89 -18
45 93 91
45 94 -4
45 97 34
45 99 90
46 1 -74
46 6 55
46 9 8
46 16 31
46 18 -23
46 20 -62
46 21 -63
46 22 96
46 23 61
46 24 -92
46 25 -68
46 29 97
46 32 -96
46 35 15
46 38 69
46 41 37
46 48 -10
46 49 -2
46 55 -15
46 56 29
46 64 -75
46 71 9
46 78 49
46 82 36
46 87 -18
46 88 -90
46 89 95
46 90 -46
46 95 67
46 96 -56
47 0 -15
47 1 30
47 2 36
47 5 68
47 7 12
47 8 -82
47 13 -44
47 14 38
47 16 -59
47 20 6
47 26 71
47 27 91
47 31 -50
47 36 50
47 37 -73
47 40 36
47 42 -83
47 51 81
47 62 33
47 63 35
47 68 -94
47 71 -14
47 76 77
47 82 -41
47 83 -78
47 88 -80
47 89 52
47 94 -2
47 98 -50
47 99 -37
48 1 97
48 7 99
48 8 77
48 11 44
48 14 37
48 16 77
48 19 -21
48 20 52
48 21 -61
48 24 -38
48 25 33
48 26 90
48 32 -95
48 33 39
48 39 68
48 41 -25
48 44 3
48 47 82
48 49 -16
48 57 3
48 58 -28
48 60 11
48 63 -34
48 64 97
48 71 35
48 72 27
48 87 -28
48 92 -1
48 93 77
48 95 48
48 96 -2
48 97 39
49 0 -52
49 2 -49
49 11 -56
49 14 -4
49 16 -73
49 19 81
49 22 90
49 23 95
49 25 45
49 27 -71
49 31 14
49 32 81
49 33 90
49 35 -48
49 36 -81
49 43 49
49 46 37
49 47 -1
49 49 -100
49 50 84
49 52 2
49 57 -22
49 60 63
49 62 87
49 65 64
49 71 71
49 73 10
49 76 15
49 77 -16
49 79 100
49 80 31
49 83 -94
49 86 -85
49 95 -6
49 96 -35
49 98 28
50 0 -37
50 1 -4
50 3 -44
50 5 72
50 6 -95
50 7 -30
50 8 90
50 9 -96
50 11 68
50 17 -48
50 24 -53
50 32 10
50 34 -26
50 37 92
50 39 27
50 40 84
50 41 3
50 47 -53
50 51 39
50 52 -65
50 60 -15
50 65 59
50 70 75
50 71 -74
50 74 39
50 75 35
50 76 7
50 78 -48
50 79 -26
50 86 -19
50 87 -34
50 90 95
50 99 15
51 0 38
51 10 -24
51 14 10
51 16 89
51 23 -67
51 24 -46
51 25 -89
51 28 34
51 37 -58
51 38 80
51 40 -83
51 41 1
51 43 32
51 44 -97
51 45 72
51 50 -44
51 51 -77
51 54 -90
51 55 63
51 57 -59
51 60 -92
51 62 27
51 66 86
51 70 -42
51 75 90
51 76 -80
51 77 -78
51 78 84
51 79 92
51 81 -53
51 83 -73
51 87 -62
51 89 -99
51 93 23
51 94 -14
51 96 69
51 97 13
51 99 -26
52 1 17
52 6 -19
52 9 -83
52 11 29
52 16 -1
52 17 29
52 19 -64
52 20 34
52 21 -54
52 30 96
52 33 47
52 36 37
52 37 -5
52 39 19
52 47 -22
52 52 87
52 54 -78
52 60 85
52 64 62
52 66 58
52 67 40
52 74 -92
52 75 -27
52 76 53
52 78 39
52 80 -10
52 83 100
52 85 79
52 86 37
52 92 -8
52 96 -8
52 97 11
53 2 88
53 4 -66
53 5 -63
53 8 39
53 9 11
53 12 74
53 15 -16
53 24 -61
53 26 79
53 31 59
53 32 50
53 33 14
53 36 76
53 37 22
53 41 -14
53 51 -48
53 54 -89
53 55 92
53 62 1
53 66 4
53 67 -33
53 69 -31
53 72 73
53 78 50
53 80 39
53 83 -40
53 87 42
53 90 8
53 92 -13
53 94 83
53 96 27
54 1 -9
54 2 -98
54 7 16
54 13 -43
54 15 41
54 17 -1
54 18 30
54 26 -82
54 29 -68
54 32 -24
54 33 21
54 36 66
54 37 -6
54 43 76
54 44 -19
54 51 -40
54 52 56
54 59 30
54 66 -81
54 67 -94
54 70 -24
54 72 -19
54 73 93
54 74 63
54 82 -56
54 85 85
54 86 96
54 87 45
54 89 -35
54 91 24
54 92 26
54 96 -24
54 97 -22
54 98 -81
55 4 6
55 5 -84
55 19 -73
55 22 69
55 31 71
55 37 -4
55 38 36
55 39 88
55 40 23
55 42 -58
55 45 -48
55 47 -36
55 48 -83
55 49 -76
55 50 -39
55 53 65
55 54 -43
55 58 96
55 67 64
55 74 21
55 76 -27
55 78 63
55 80 -35
55 83 52
55 85 -70
55 86 -62
55 88 31
55 89 49
55 92 4
55 96 -55
56 0 -63
56 3 -84
56 4 -77
56 6 24
56 9 -5
56 15 -61
56 18 77
56 32 -52
56 44 -25
56 46 68
56 47 -90
56 50 43
56 51 -2
56 52 -23
56 53 -47
56 56 -11
56 58 20
56 60 -54
56 62 6
56 64 -33
56 65 2
56 67 59
56 68 100
56 75 10
56 76 -46
56 80 61
56 81 40
56 82 26
56 86 9
56 87 -4
56 88 50
56 91 -73
56 92 -73
56 93 70
56 98 18
57 1 17
57 3 89
57 4 3
57 5 17
57 11 88
57 13 -54
57 15 15
57 20 -72
57 27 82
57 28 8
57 33 -39
57 34 66
57 35 -27
57 36 85
57 37 45
57 38 96
57 39 -19
57 40 -19
57 44 -68
57 51 -2
57 54 -39
57 55 -88
57 57 -43
57 59 8
57 63 -8
57 65 -23
57 72 10
57 73 96
57 75 61
57 76 25
57 87 -30
57 88 -5
57 99 -91
58 0 90
58 1 -9
58 2 54
58 5 -22
58 6 84
58 9 28
58 21 -95
58 24 34
58 25 -20
58 26 -94
58 27 -99
58 32 66
58 33 -48
58 34 -75
58 36 62
58 37 -50
58 38 -31
58 42 -88
58 45 -52
58 49 24
58 50 -90
58 51 -67
58 54 -76
58 58 -41
58 59 8
58 70 47
58 77 -84
58 80 -33
58 84 -25
58 86 31
58 91 86
58 92 -71
58 95 50
58 96 -27
58 97 36
59 7 -77
59 10 -90
59 12 -14
59 13 -10
59 17 -70
59 21 34
59 24 13
59 27 99
59 30 60
59 31 64
59 32 -2
59 41 77
59 47 -66
59 48 -4
59 57 52
59 58 88
59 63 4
59 64 14
59 69 -23
59 77 -29
59 78 -99
59 79 36
59 86 -55
59 94 41
60 0 33
60 2 96
60 3 41
60 5 -23
60 9 98
60 13 -69
60 16 -30
60 22 1
60 25 -5
60 30 -55
60 42 37
60 51 42
60 53 21
60 58 85
60 60 -2
60 66 8
60 79 37
60 80 -99
60 87 -22
60 89 -40
60 94 -68
60 95 -14
60 96 75
60 99 -37
61 2 -98
61 5 -57
61 7 -58
61 8 -34
61 15 -58
61 17 -52
61 19 -44
61 28 56
61 32 35
61 35 -34
61 37 17
61 42 10
61 47 72
61 49 88
61 51 -74
61 54 -49
61 56 27
61 58 2
61 59 -43
61 60 -51
61 64 77
61 74 100
61 77 -50
61 80 -79
61 88 -95
61 91 -78
61 92 -21
61 94 -24
61 95 -92
61 96 -66
61 98 75
61 99 42
62 2 10
62 3 20
62 6 36
62 9 -55
62 10 44
62 12 83
62 13 48
62 14 -9
62 16 56
62 18 75
62 21 91
62 26 43
62 27 58
62 34 -40
62 37 -33
62 39 -93
62 45 -16
62 47 -27
62 50 100
62 54 -98
62 58 -52
62 60 -65
62 61 47
62 63 25
62 65 63
62 66 21
62 69 28
62 75 -20
62 77 63
62 79 52
62 82 41
62 84 34
62 89 -60
62 97 84
62 99 -73
63 5 -21
63 7 -59
63 9 28
63 11 -56
63 18 -36
63 20 88
63 22 -9
63 24 73
63 25 98
63 29 -67
63 30 -42
63 32 -71
63 33 23
63 34 -93
63 36 -60
63 37 23
63 50 -55
63 51 40
63 52 -31
63 54 -1
63 56 46
63 60 -72
63 61 88
63 68 29
63 71 52
63 75 23
63 80 91
63 81 -60
63 83 -97
63 96 -81
64 1 -64
64 11 -46
64 21 46
64 27 33
64 31 18
64 34 10
64 40 76
64 42 23
64 44 -93
64 46 27
64 50 14
64 52 55
64 55 -79
64 57 81
64 63 -40
64 67 74
64 68 25
64 69 80
64 70 35
64 72 -52
64 75 -72
64 78 28
64 85 41
64 87 -28
64 90 -8
64 94 -1
64 97 -58
65 3 -16
65 11 -16
65 15 4
